"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FCRYAVND","journalArticle","2023","Abdalazeem, Mohammed; Oke, Jimi","Extracting Spatiotemporal Bus Passenger Trip Typologies from Noisy Mobile Ticketing Boarding Data","Data Science for Transportation","","2948-1368","10.1007/s42421-023-00082-x","https://doi.org/10.1007/s42421-023-00082-x","We present a framework for extracting spatiotemporal trip typologies using noisy mobile ticketing boarding data sampled from passengers in a bus network. Our case study was the Pioneer Valley Transit Authority in Massachusetts. We first used a greedy approach to infer bus boarding stops. Next, we calculated the multi-dimensional dissimilarity of passenger activation time series using the AWarp alignment algorithm for sparse time series. We then employed hierarchical clustering to discover the spatiotemporal patterns, resulting in four distinct trip pattern typologies. We analyzed the typologies, based on trip length and duration, seasonality and other temporal distributions, spatial distributions, and faretype. Three typologies were linked to regular commuters, distinguished by boarding time or transfer tendency. The fourth typology was primarily associated with leisure or other activities. Our typology method provides valuable passenger behavioral insights and can facilitate demand estimation by planners. Further, we demonstrate a potential for decision-making support for other regional transit authorities with limited passenger data availability.","2023-09-14","2023-10-03 15:45:08","2023-10-03 15:45:08","2023-10-03 15:45:08","20","","3","5","","Data Sci. Transp.","","","","","","","","en","","","","","Springer Link","","","","","","","Public transportation; Clustering; Dynamic time warping; Typologies; Mobile ticketing; Spatiotemporal patterns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHXY5F6H","journalArticle","2023","Goodarzi, Saeed; Kashani, Hamed F.; Saeedi, Anahita; Oke, Jimi; Ho, Carlton L.","Stochastic analysis for estimating track geometry degradation rates based on GPR and LiDAR data","Construction and Building Materials","","0950-0618","10.1016/j.conbuildmat.2023.130591","https://www.sciencedirect.com/science/article/pii/S0950061823003021","The estimation of track degradation rate is a challenging step in scheduling preventive maintenance interventions due to its uncertain nature. To tackle this challenge, a large dataset of historic passenger track geometry data, between 2011 and 2021, integrated with Ground Penetrating Radar (GPR), and Light Detection And Ranging (LiDAR) data are investigated. Stochastic models are proposed for estimating the expected track degradation rates based on subsurface and drainage conditions of blocks and also a framework is proposed for automatically evaluating drainage conditions of track from LiDAR data. Results indicate that the probability of having high track degradation rates in highly fouled ballast condition can be 10 times more than in clean ballast condition. In addition, analyzing the effect of drainage conditions revealed that sections with poor drainage conditions are 30% more likely to have high track degradation rates than sections with moderate drainage conditions. The results of this study enhance scheduling geometry maintenance and provide reliable information for decision making on different types of maintenance such as Ballast Cleaning and ditching.","2023-03-10","2023-10-03 15:47:35","2023-10-03 15:47:35","2023-10-03 15:47:35","130591","","","369","","Construction and Building Materials","","","","","","","","","","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/IQH63DXG/Goodarzi et al. - 2023 - Stochastic analysis for estimating track geometry .pdf","","","LiDAR; Geometry data; Large data; Preventive maintenance; Ground Penetrating Radar; Probabilistic analysis; Probability distribution fitting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFP4YM5B","journalArticle","2023","Mohammed, Mohammed; Oke, Jimi","Origin-destination inference in public transportation systems: A comprehensive review","International Journal of Transportation Science and Technology","","2046-0430","10.1016/j.ijtst.2022.03.002","https://www.sciencedirect.com/science/article/pii/S2046043022000223","Origin-destination (OD) modeling facilitates effective demand-responsive public transportation planning in order to meet emergent needs. Given recent advances in transit information and personal communications technology, transit OD estimation methods have evolved from relying on limited survey sources to automated big data sources. Innovative modeling approaches have also been developed over several decades to estimate trip ODs, not only for single routes, but also for full networks, including transfers. In this paper, we synthesize a review of the state of the art in research and practice, along with descriptions of key data types and methodological approaches, indicating how they interact. We also discuss current research gaps and opportunities for further innovation. This review provides a comprehensive resource that should facilitate the application of these methods to various transit systems, thus enabling planners and policymakers to gain insights from new and improved model estimates in various transit systems.","2023-03-01","2023-10-03 15:48:17","2023-10-03 15:48:17","2023-10-03 15:47:50","315-328","","1","12","","International Journal of Transportation Science and Technology","Origin-destination inference in public transportation systems","","","","","","","","","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/PGFQ9Y3G/Mohammed and Oke - 2023 - Origin-destination inference in public transportat.pdf","","","Transit; Trip chaining; Automated data collection systems; Origin-destination inference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIGUCQP6","journalArticle","2021","Kumar, Nishant; Oke, Jimi; Nahmias-Biran, Bat-hen","Activity-based epidemic propagation and contact network scaling in auto-dependent metropolitan areas","Scientific Reports","","2045-2322","10.1038/s41598-021-01522-w","https://www.nature.com/articles/s41598-021-01522-w","We build on recent work to develop a fully mechanistic, activity-based and highly spatio-temporally resolved epidemiological model which leverages person-trajectories obtained from an activity-based model calibrated for two full-scale prototype cities, consisting of representative synthetic populations and mobility networks for two contrasting auto-dependent city typologies. We simulate the propagation of the COVID-19 epidemic in both cities to analyze spreading patterns in urban networks across various activity types. Investigating the impact of the transit network, we find that its removal dampens disease propagation significantly, suggesting that transit restriction is more critical for mitigating post-peak disease spreading in transit dense cities. In the latter stages of disease spread, we find that the greatest share of infections occur at work locations. A statistical analysis of the resulting activity-based contact networks indicates that transit contacts are scale-free, work contacts are Weibull distributed, and shopping or leisure contacts are exponentially distributed. We validate our simulation results against existing case and mortality data across multiple cities in their respective typologies. Our framework demonstrates the potential for tracking epidemic propagation in urban networks, analyzing socio-demographic impacts and assessing activity- and mobility-specific implications of both non-pharmaceutical and pharmaceutical intervention strategies.","2021-11-22","2023-10-03 15:49:58","2023-10-03 15:49:58","2023-10-03 15:49:58","22665","","1","11","","Sci Rep","","","","","","","","en","2021 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","/home/jbo/Zotero/storage/I3HNPFA3/Kumar et al. - 2021 - Activity-based epidemic propagation and contact ne.pdf","","","Diseases; Viral infection; Applied mathematics; Infectious diseases; Mathematics and computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTKY2H33","journalArticle","2023","Apostolov, Atanas; Oke, Jimi; Suttle, Ryan; Arwade, Sanjay; Kane, Brian","Predicting tree failure likelihood for utility risk mitigation via a convolutional neural network","Sustainable and Resilient Infrastructure","","2378-9689","10.1080/23789689.2023.2233759","https://doi.org/10.1080/23789689.2023.2233759","Critical to the resilience of utility power lines, tree failure assessments have historically been performed via costly manual inspections. In this paper, we develop a convolutional neural network (CNN) to predict tree failure likelihood categories (Probable, Possible, Improbable) under three classification strategies. The CNN produced the best performance under the Probable/Possible vs. Improbable strategy, achieving a recall score of 0.82. We also perform a visual analysis of the predictions via Grad-CAM++ heatmaps, indicating an approach for incorporating interpretability into model selection. Benchmarking the results of our model against those produced by two state-of-the-art CNNs (ResNet-50 and Inception-v3), we show that our relatively simple model produces better results in a computational time that is three times faster. Via this novel framework, we demonstrate the potential of artificial intelligence to automate and consequently reduce the costs of tree failure likelihood assessments in proximity to power lines, thereby promoting sustainable infrastructure.","2023-11-02","2024-02-19 19:03:38","2024-02-19 19:03:38","2024-02-19 19:03:38","572-588","","6","8","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/23789689.2023.2233759","","","","","resilience; CNN; AI; infrastructure management; Utility power lines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AC8J9W7V","journalArticle","2015","Oke, Olufolajimi; Siddiqui, Sauleh","Efficient automated schematic map drawing using multiobjective mixed integer programming","Computers & Operations Research","","0305-0548","10.1016/j.cor.2015.02.010","https://www.sciencedirect.com/science/article/pii/S0305054815000416","We present an efficient multiobjective mixed binary linear program that automates schematic mapping for network visualization and navigation. Schematic mapping has broad applications in representing transit networks, circuits, disease pathways, project tasks, organograms, and taxonomies. Good schematic maps employ distortion while preserving topology to facilitate access to physical or virtual networks. Automation is critical to saving time and costs, while encouraging adoption. We build upon previous work, particularly that of Nöllenburg and Wolff, improving upon the computational efficiency of their model by relaxing integrality constraints and reducing the number of objectives from three to two. We also employ an efficient augmented ϵ-constraint method to assist in obtaining all Pareto optimal solutions, both supported and unsupported, for a given network. Through the Vienna Underground network and a cancer pathway, along with three numerical examples, we demonstrate the applications of our methods. Finally, we discuss future directions for research in this area.","2015-09-01","2024-02-26 16:17:21","2024-02-26 16:17:21","2024-02-26 16:17:21","1-17","","","61","","Computers & Operations Research","","","","","","","","","","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/GGXJ9HHK/S0305054815000416.html","","","Automated schematic mapping; Multiobjective mixed integer programming; Network visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6GANRLT","journalArticle","2024","Arabi, Mahsa; Oke, Jimi","Comprehensive Energy Modeling Framework for Multi-Powertrain Bus Transit Systems","Transportation Research Record","","0361-1981","10.1177/03611981231172502","https://doi.org/10.1177/03611981231172502","With the increasing emphasis on sustainable transportation solutions, there is an urgent need for a system that can accurately assess vehicle-specific energy consumption in real-time. However, the current modeling frameworks have a significant gap in that they are not demand- and congestion-responsive, nor are they capable of modeling the system-wide energy consumption of bus fleets at the vehicle-level, encompassing all three types of powertrains—conventional, hybrid, and electric. To address this gap, we present a comprehensive modeling framework that takes into account passenger loading, considers the dynamics of the system including acceleration, and is capable of predicting the real-time energy usage of each bus in a transit network. Using the Pioneer Valley Transit Authority system as a case study, we calibrated existing powertrain-specific models for conventional diesel, hybrid, and battery electric buses. Our demand- and congestion-responsive energy consumption modeling framework fills this critical gap and offers significant potential for future sustainable transportation planning. Relying on detailed trajectories computed from one month of bus location data, along with passenger counts and road grade, our framework is a novel contribution in that it provides spatiotemporal energy predictions for an entire bus system. As it is readily calibrated with potential improvements in accuracy given more data, this framework can be applied by transit agencies for the purposes of real-time energy consumption monitoring, fleet electrification planning, equity analyses, and carbon emission reduction strategies.","2024-01-01","2024-06-18 14:43:24","2024-06-18 14:43:24","2024-06-18 14:43:24","707-720","","1","2678","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/home/jbo/Zotero/storage/APQISQDZ/Arabi and Oke - 2024 - Comprehensive Energy Modeling Framework for Multi-.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZLNVSJS","journalArticle","2024","Han, Zhuo; Gonzales, Eric; Christofa, Eleni; Oke, Jimi","Line-Specific Energy Modeling Framework for Urban Rail Transit Systems: A Case Study of Boston","Transportation Research Record","","0361-1981","10.1177/03611981231170181","https://doi.org/10.1177/03611981231170181","Urban rail transit systems play an essential role in improving mobility and efficiency. A complex rail transit network serves the Boston metropolitan area, U.S., which costs $38 million for the 422 GWh of system electricity consumed annually. With the aim of developing a tool for energy and cost reduction decision support, we propose a comprehensive machine learning framework to investigate line-specific contributions to energy. This effort builds on prior work in estimating a system-wide energy model for the Boston network. By introducing line-specific train movement and operation variables, we obtain a higher-performing model  (R2=0.91) . Furthermore, the model better explains the relationship between energy and train movement, ridership, and weather variables. Most importantly, the model facilitates analyses of how each line contributes to system consumption at the hour level. We found that the non-line-specific variables made a contribution of −2.7% to the average hourly energy of consumption of −5.4 MWh with a baseline energy consumption of 39 MWh. The Red Line dominates the energy consumption among line-specific variables, contributing 2.3% to the hourly average. Our model could be further enhanced to evaluate the energy and cost impacts of line-specific strategies that may be required for future planning and disaster response, as well as for real-time energy monitoring by line.","2024-01-01","2024-06-18 14:43:40","2024-06-18 14:43:40","2024-06-18 14:43:40","150-164","","1","2678","","","Line-Specific Energy Modeling Framework for Urban Rail Transit Systems","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/home/jbo/Zotero/storage/MR7QC2N5/Han et al. - 2024 - Line-Specific Energy Modeling Framework for Urban .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HE37NVJ","journalArticle","2024","Sarigiannis, Dimitrios; Atzemi, Maria; Oke, Jimi; Christofa, Eleni; Gerasimidis, Simos","Feature Engineering and Decision Trees for Predicting High Crash-Risk Locations Using Roadway Indicators","Transportation Research Record","","0361-1981","10.1177/03611981231217497","https://doi.org/10.1177/03611981231217497","Road crashes are a prevalent public health issue across the globe. The objective of this research was to develop a methodology for accurately classifying high-risk crash locations. The hypothesis of this study was that readily obtained roadway indicators can be used along with machine learning techniques to categorize locations as high crash-risk. A database containing 5,383 locations was created during 2012 to 2015 as part of the Hellenic National Road Safety Project and used to develop three binary machine learning models to classify high crash-risk locations based on roadway indicators. The three models were random forest, gradient boosting, and extra trees. This research used features engineering to reduce the number of indicators in the model, and the synthetic minority oversampling technique to address imbalances in the dataset between the minority (high crash-risk locations identified using crash reports) and majority classes (medium to low crash-risk locations identified based on local police testimonies, site inspections, and geometry analysis). Although all three models performed similarly, the extra trees model outperformed the other two on a range of performance metrics, including the area under the precision–recall curve and the F1-score. The findings revealed that design speeds, pavement markings, signage presence, and pavement condition were the most influential factors affecting roadway safety. The contribution of this research is in the development of a transferable methodology for classifying high crash-risk locations in addition to revealing key indicators for crash-risk potential, which in turn can inform cost-effective data collection and maintenance activities.","2024-01-07","2024-06-18 14:45:11","2024-06-18 14:45:11","2024-06-18 14:45:11","03611981231217497","","","","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/home/jbo/Zotero/storage/IAF4WTY9/Sarigiannis et al. - 2024 - Feature Engineering and Decision Trees for Predict.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLP92N3Y","journalArticle","2021","Nahmias-Biran, Bat-hen; Oke, Jimi B.; Kumar, Nishant; Lima Azevedo, Carlos; Ben-Akiva, Moshe","Evaluating the impacts of shared automated mobility on-demand services: an activity-based accessibility approach","Transportation","","1572-9435","10.1007/s11116-020-10106-y","https://doi.org/10.1007/s11116-020-10106-y","Autonomous vehicle (AV) technologies are under constant improvement with pilot programs now underway in several urban areas worldwide. Modeling and field-testing efforts are demonstrating that shared mobility coupled with AV technology for automated mobility on-demand (AMoD) service may significantly impact levels of service and environmental outcomes in future cities. Given these rapidly emerging developments, there is an urgent need for methods to adequately quantify the economic impacts of new vehicle technologies and future urban mobility policy. In this paper, we show how broader user-centric impacts can be captured by the activity-based accessibility (ABA) measure, which takes advantage of the rich data and outcomes of utility-maximization activity-based models and its interaction with mesoscale agent-based traffic simulation frameworks. Using the SimMobility simulator, we evaluate shared AMoD strategies applied to a Singapore micromodel city testbed. A near-future strategy of exclusive availability of AMoD service in the central business district (CBD), and a further-horizon strategy of the full operation of AMoD city-wide in the absence of other on-demand services, were tested and evaluated. Our results provide insights into the income and accessibility effects on the population under the implementation of shared and automated mobility policies. The outcomes indicate that the city-wide deployment of AMoD results in greater accessibility and network performance. Moreover, the accessibility of low-income individuals is improved relative to that of mid- and high-income individuals. The restriction of AMoD to the CBD along with the operation of other on-demand services, however, provides a certain level of disbenefit to segments of the population in two exceptional cases. The first is to high-income individuals who live in a suburban zone and rely heavily on on-demand services; the second is to mid-income residents that have excellent public transportation coverage with close proximity to the CBD. We further establish the efficacy of the ABA measure, as these findings motivate the need for measuring socioeconomic impacts at the individual level. The work presented here serves as a foundation for policy evaluation in real-world urban models for future mobility paradigms.","2021-08-01","2024-06-26 19:28:59","2024-06-26 19:28:59","2024-06-26 19:28:58","1613-1638","","4","48","","Transportation","Evaluating the impacts of shared automated mobility on-demand services","","","","","","","en","","","","","Springer Link","","","","/home/jbo/Zotero/storage/T7BAVJBH/Nahmias-Biran et al. - 2021 - Evaluating the impacts of shared automated mobilit.pdf","","","Agent-based modeling; Simulation; Accessibility; Automated mobility on-demand; Autonomous vehicles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3N5VERMT","report","2024","Apostolov, Atanas; Xie, Yuanchang; Ai, Chengbo; Tainter, Francis; Oke, Jimi","Artificial Intelligence Framework for Crosswalk Detection Across Massachusetts","","","","","https://rosap.ntl.bts.gov/view/dot/75247","The goal of this project was to develop an artificial intelligence (AI) framework to detect crosswalk locations across the state of Massachusetts, as well as their type classification (continental, parallel lines, or solid) and location category (intersection, midblock, or driveway). Aerial images downloaded from MassGIS were annotated, and these were used to train the AI model, which was then used to detect crosswalks across the entire state using images from both 2019 and 2021. About 88,000 crosswalks were detected in 2021. In terms of location category, 89% of these were intersection crosswalks, 8% were midblock, and 3% were at driveways. In terms of type, just under 65% were continental (zebra-style) crosswalks, about 35% were parallel lines, and less than 1% were solid/painted crosswalks. A python script was developed to perform the post-processing. The model and the post-processing script will be available to MassDOT to perform further analyses, and results will be expected to inform maintenance and safety initiatives.","2024-02-01","2024-07-25 13:44:13","2024-07-25 13:49:35","2024-07-25 13:44:11","","","","","","","","","","","","Massachusetts Department of Transportation","","English","","","","","ROSA P","dot:75247","","","","","","Safety; Artificial intelligence; Aerial photogrammetry; Crosswalks; Driveways; Intersections","","","","","","","","","","","","","","","","","","","20-024","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5USYLMT","report","2021","Oke, Jimi; Christofa, Eleni; Gonzales, Eric; Han, Zhuo; Donaghy, Sean","Tracking the Energy and Emissions of MBTA Rapid Transit Vehicles","","","","","https://rosap.ntl.bts.gov/view/dot/60026","Rapid transit systems are critical components of public transportation networks in urban areas, in terms of their impact on person mobility and on monetary, energy, and environmental costs associated with their operations. To facilitate effective planning for current and future needs, a framework is required that provides important consumption metrics and explains the various contributors to energy consumption and their interactions. This study presents a model that utilizes operational and ridership data for the Massachusetts Bay Transportation Authority's rapid transit system, as well as ambient temperature, to accurately predict system-wide electricity consumption. Linear regression and random forests were used to estimate energy consumption, which could explain a 0.93 and 0.95 variance in the data set, respectively. The model was trained with data from 2019 and tested with data from 2020. The linear regression model provided predictions with RMSE of 2.7 MWh and MAPE of 4.68%, and the random forest model resulted in a RMSE of 2.94 MWh and MAPE of 5.01%. These models are robust and perform well, even with the significant impacts to transit operations associated with the COVID-19 pandemic. This project also investigated COVID-19 impact on the whole system by exploring effects on ridership, energy consumption, cost, and train movement metrics, before and during the pandemic.","2021-08-01","2024-07-25 13:44:45","2024-07-25 13:49:21","2024-07-25 13:44:45","","","","","","","","","","","","Massachusetts Department of Transportation","","English","","","","","ROSA P","dot:60026","","","/home/jbo/Zotero/storage/AZNYSTPP/Oke et al. - 2021 - Tracking the Energy and Emissions of MBTA Rapid Tr.pdf","","","COVID-19; Energy consumption; Predictive models; Exhaust gases; Passenger trains; Rapid transit; Train trajectory","","","","","","","","","","","","","","","","","","","21-023","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TECBQR3N","report","2019","Green, William H.; Armstrong, Robert C.; Ben-Akiva, Moshe; Heywood, John; Knittel, Christopher; Paltsev, Sergey; Reimer, Brian; Vaishnav, Chintan; Zhao, Jinhua; Gross, Eytan; Moody, Joanna; Dimanchev, Emil; Gençer, Emre; Ghandi, Abbas; Hsieh, I.-Yun Lisa; Miller, Ian; Morris, Jennifer; Murphy, Elizabeth; Nunes, Ashley; Oke, Jimi B.; Sridhar, Rakesh; Weigl, Dustin","Insights Into Future Mobility: A Report from the Mobility of the Future Study","","","","","https://energy.mit.edu/wp-content/uploads/2019/11/Insights-into-Future-Mobility.pdf","The MIT Energy Initiative's (MITEI's) three-year Mobility of the Future study explored the major factors that affect the evolution of personal mobility from 2020 to 2050. Using a scenario-based approach, the diverse study team of MIT faculty, researchers, and students examined how different factors shape the future of personal mobility at different scales, from global and national markets to policy and mobility choices at the city and individual levels. This report presents results and findings to help stakeholders anticipate and navigate the challenges that lie ahead. The report includes detailed findings on five areas of influence on the future landscape for personal mobility: (1) The potential impact of climate change policies on global fleet composition, fuel consumption, fuel prices, and economic output; (2) The outlook for vehicle ownership and travel, with a focus on the world’s two largest light-duty vehicle markets—the U.S. and China; (3) Characteristics of alternative vehicle powertrains and fuels that could affect their future market share; (4) Infrastructure considerations for charging and fueling, particularly as they affect future demand for electric and hydrogen fuel cell vehicles; and (5) The future of personal mobility in urban areas, with a focus on the potentially disruptive role of autonomous vehicles and ride-hailing services.","2019-11","2024-07-25 14:18:18","2024-07-25 14:22:48","2024-07-25 14:18:18","","","","","","","Insights Into Future Mobility","","","","","MIT Energy Initiative","Cambridge, MA","","","","","","trid.trb.org","","","","/home/jbo/Zotero/storage/LDRPNMEK/1667864.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RMV956E","journalArticle","2019","Oke, Jimi B.; Aboutaleb, Youssef M.; Akkinepally, Arun; Azevedo, Carlos Lima; Han, Yafei; Zegras, P. Christopher; Ferreira, Joseph; Ben-Akiva, Moshe E.","A novel global urban typology framework for sustainable mobility futures","Environmental Research Letters","","1748-9326","10.1088/1748-9326/ab22c7","https://dx.doi.org/10.1088/1748-9326/ab22c7","Urban mobility significantly contributes to global carbon dioxide emissions. Given the rapid expansion and growth in urban areas, cities thus require innovative policies to ensure efficient and sustainable mobility. Urban typologies can serve as a vehicle for understanding dynamics of cities, which exhibit high variability in form, economic output, mobility behavior, among others. Yet, typologies relevant for sustainable urban mobility analyses are few, outdated and not large enough in scope. In this paper, we present a new typologization spanning 331 cities in 124 countries. Our sample represents 40% of the global urban population and contains the most recent data from 2008 to date. Using a factor analytic and agglomerative clustering approach, we identify 9 urban factors and 12 typologies. We discuss the implications of this new framework for researchers and planners and investigate the relationships between mobility and environmental sustainability indicators. Notably, we show an immediate application of the urban typologies to better understanding travel behavior and also describe their usage for detailed large-scale simulation in representative prototype cities for insights into sustainable future mobility policy pathways. Our data and results are publicly available for further exploration and will serve as a foundation for future analyses toward desirable urban and environmental outcomes.","2019-09","2024-08-12 18:15:19","2024-08-12 18:15:19","2024-08-12 18:15:19","095006","","9","14","","Environ. Res. Lett.","","","","","","","","en","","","","","Institute of Physics","","Publisher: IOP Publishing","","/home/jbo/Zotero/storage/UZT26UFH/Oke et al. - 2019 - A novel global urban typology framework for sustai.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVQUMULA","journalArticle","2020","Oke, Jimi B.; Akkinepally, Arun Prakash; Chen, Siyu; Xie, Yifei; Aboutaleb, Youssef M.; Azevedo, Carlos Lima; Zegras, P. Christopher; Ferreira, Joseph; Ben-Akiva, Moshe","Evaluating the systemic effects of automated mobility-on-demand services via large-scale agent-based simulation of auto-dependent prototype cities","Transportation Research Part A: Policy and Practice","","0965-8564","10.1016/j.tra.2020.06.013","https://www.sciencedirect.com/science/article/pii/S0965856420306327","The growing demand for urban mobility highlights the need for relevant and sustainable solutions in cities worldwide. Thus, we develop and implement a framework to analyze the systemic impacts of future urban mobility trends and policies. We build on prior work in classifying the world’s cities into 12 urban typologies that represent distinct land-use and behavioral characteristics by introducing a generalized approach for creating a detailed, simulatable prototype city that is representative of a given typology. We then generate and simulate two auto-dependent (largely US-specific) prototype cities via a state-of-the-art agent-based platform, SimMobility, for integrated demand microsimulation and supply mesoscopic simulation. We demonstrate the framework by analyzing the impacts of automated mobility on-demand (AMoD) implementation strategies in the cities based on demand, congestion, energy consumption and emissions outcomes. Our results show that the introduction of AMoD cannibalizes mass transit while increasing vehicle kilometers traveled (VKT) and congestion. In sprawling auto-dependent cities with low transit penetration, the congestion and energy consumption effects under best-case assumptions are similar regardless of whether AMoD competes with or complements mass transit. In dense auto-dependent cities with moderate transit modeshare, the integration of AMoD with transit yields better outcomes in terms of VKT and congestion. Such cities cannot afford to disinvest in mass transit, as this would result in unsustainable outcomes. Overall, this framework can provide insights into how AMoD can be sustainably harnessed not only in low-density and high-density auto-dependent cities, but also in other typologies.","2020-10-01","2024-08-12 18:16:05","2024-08-12 18:16:05","2024-08-12 18:16:05","98-126","","","140","","Transportation Research Part A: Policy and Practice","","","","","","","","","","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/5QN43HV5/Oke et al. - 2020 - Evaluating the systemic effects of automated mobil.pdf; /home/jbo/Zotero/storage/32I2ZKEP/S0965856420306327.html","","","Agent-based simulation; Automated mobility-on-demand; Future urban mobility; Prototype cities; Urban typologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEEM6E9Y","journalArticle","2024","Arabi, Mahsa; Gerasimidis, Simos; Barchers, Camille; Oke, Jimi","Resilience in multilayer transportation infrastructure networks: a review and conceptual framework for equity-based assessment","Sustainable and Resilient Infrastructure","","2378-9689","10.1080/23789689.2024.2344909","https://www.tandfonline.com/doi/abs/10.1080/23789689.2024.2344909","This paper presents a comprehensive review of resilience concepts, methodologies, metrics, and modeling techniques, and identifies key research gaps. These include the lack of multilayer network representations of transportation infrastructures when quantifying resilience, and insufficient metrics for assessing equitable outcomes. To address these gaps, we propose a conceptual multilayer framework for transporttaion infrastructure networks and develop equitable resilience metrics that incorporate socioeconomic and demographic variables. Using Pioneer Valley as a case study, we apply our framework to assess the resilience of transportation networks and demonstrate its utility in guiding resource allocation to enhance both the physical robustness and social equity of infrastructure. Our findings show that this approach significantly contributes to more informed and inclusive decision-making, fostering the development of resilient and equitable urban environments.","2024-04-22","2024-08-14 18:21:15","2024-08-14 18:25:32","2024-08-14 18:21:15","","","","","","","Resilience in multilayer transportation infrastructure networks","","","","","","","EN","© 2024 Informa UK Limited, trading as Taylor & Francis Group","","","world","www.tandfonline.com","","Publisher: Taylor & Francis","","/home/jbo/Zotero/storage/YZ7EFTHI/23789689.2024.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
